Atributo,Frequência
PHASEEN,41
T90,36
ATTEN,31
DISPEN,20
DISTEN,20
IMC,17
SAMPEN,16
PORTAS,12
EHLERS,11
SYMB2LV,11
SYMB2UV,11
W0,10
FUZZYEN,9
IDADE,8
RMSSD,8
LFNU,8
PIP,8
AC,8
W1,7
PERMEN,7
W3,7
LFABS,7
DC,7
BIN2V,7
VLFABS,6
W2,6
SYMB1V,6
SDNN,6
ALTURA,6
GUZIKS,6
PESO,5
MEANRR,4
BIN1V,4
LFHF,4
HFNU,4
SYMB0V,3
BIN0V,3
SATMIN,3
HFABS,3
