Atributo,Frequência
PHASEEN,30
ATTEN,22
T90,20
DISTEN,13
IMC,13
DISPEN,11
PORTAS,9
W0,9
SAMPEN,8
LFABS,7
LFNU,6
SYMB2LV,6
PERMEN,6
AC,6
BIN2V,6
RMSSD,5
W3,5
IDADE,5
SYMB2UV,5
DC,5
SYMB1V,5
EHLERS,5
SDNN,4
PIP,4
FUZZYEN,4
W2,4
ALTURA,4
W1,4
LFHF,3
HFNU,3
MEANRR,3
PESO,3
BIN0V,2
GUZIKS,2
SATMIN,2
VLFABS,2
SYMB0V,2
HFABS,2
BIN1V,1
